日期	最新股价	开盘	高	低	交易量	百分比变化
2014年12月15日	108.22	110.70	111.60	106.35	67.22M	-1.38%
2014年12月12日	109.73	110.46	111.87	109.58	56.03M	-1.69%
2014年12月11日	111.62	112.26	113.80	111.34	41.47M	-0.29%
2014年12月10日	111.95	114.41	114.85	111.54	44.57M	-1.90%
2014年12月9日	114.12	110.19	114.30	109.35	60.21M	1.53%
2014年12月8日	112.40	114.10	114.65	111.62	57.66M	-2.26%
2014年12月5日	115.00	115.99	116.08	114.64	38.32M	-0.42%
2014年12月4日	115.49	115.77	117.20	115.29	42.16M	-0.38%
2014年12月3日	115.93	115.75	116.35	115.11	43.06M	1.13%
2014年12月2日	114.63	113.50	115.75	112.75	59.35M	-0.38%
2014年12月1日	115.07	118.81	119.25	111.27	83.81M	-3.25%
2014年11月28日	118.93	119.27	119.40	118.05	24.81M	-0.06%
2014年11月26日	119.00	117.94	119.10	117.83	40.83M	1.19%
2014年11月25日	117.60	119.07	119.75	117.45	68.84M	-0.86%
2014年11月24日	118.62	116.85	118.77	116.62	47.45M	1.85%
2014年11月21日	116.47	117.51	117.57	116.03	57.18M	0.14%
2014年11月20日	116.31	114.91	116.86	114.85	43.40M	1.43%
2014年11月19日	114.67	115.44	115.74	113.80	41.87M	-0.69%
2014年11月18日	115.47	113.94	115.69	113.89	44.22M	1.30%
2014年11月17日	113.99	114.27	117.28	113.30	46.75M	-0.17%
2014年11月14日	114.18	113.15	114.19	113.05	44.06M	1.21%
2014年11月13日	112.82	111.80	113.45	111.60	59.52M	1.41%
2014年11月12日	111.25	109.38	111.43	109.37	46.94M	1.41%
2014年11月11日	109.70	108.70	109.75	108.40	27.44M	0.80%
2014年11月10日	108.83	109.02	109.33	108.67	27.20M	-0.17%
2014年11月7日	109.01	108.75	109.32	108.55	33.69M	0.29%
2014年11月6日	108.70	108.60	108.79	107.80	34.97M	-0.15%
2014年11月5日	108.86	109.10	109.30	108.12	37.44M	0.24%
2014年11月4日	108.60	109.36	109.49	107.72	41.57M	-0.73%
2014年11月3日	109.40	108.22	110.30	108.01	52.28M	1.30%
2014年10月31日	108.00	108.01	108.04	107.21	44.64M	0.95%
2014年10月30日	106.98	106.96	107.35	105.90	40.65M	-0.34%
